Time [s],Frequency [Hz*4],servo_1 [%],servo_2 [%],servo_3 [%],servo_4 [%],servo_5 [%],power [%],governor_output [%]
0,199.78,59.6,59.62,59.61,59.62,59.59,83.63,1.02
0.02,199.78,59.61,59.62,59.6,59.63,59.6,83.69,1.02
0.04,199.77,59.61,59.62,59.6,59.62,59.59,83.75,1.03
0.06,199.77,59.61,59.63,59.59,59.62,59.59,83.8,1.03
0.08,199.77,59.61,59.63,59.59,59.62,59.59,83.8,1.03
0.1,199.77,59.61,59.64,59.59,59.62,59.6,83.86,1.03
0.12,199.77,59.6,59.64,59.59,59.61,59.59,83.86,1.03
0.14,199.77,59.6,59.64,59.59,59.62,59.59,83.91,1.03
0.16,199.76,59.6,59.64,59.6,59.61,59.58,83.97,1.05
0.18,199.76,59.6,59.64,59.6,59.6,59.58,83.97,1.05
0.2,199.76,59.61,59.64,59.6,59.61,59.59,83.97,1.05
0.22,199.76,59.61,59.64,59.6,59.61,59.59,84.02,1.05
0.24,199.76,59.61,59.63,59.6,59.61,59.59,84.02,1.05
0.26,199.76,59.6,59.63,59.61,59.61,59.58,83.91,1.05
0.28,199.75,59.6,59.63,59.6,59.62,59.58,83.97,1.06
0.3,199.75,59.6,59.64,59.6,59.62,59.58,83.91,1.06
0.32,199.75,59.6,59.63,59.59,59.62,59.58,83.86,1.06
0.34,199.75,59.6,59.63,59.59,59.61,59.59,83.8,1.06
0.36,199.75,59.6,59.63,59.59,59.61,59.59,83.8,1.06
0.38,199.75,59.6,59.64,59.59,59.61,59.6,83.75,1.06
0.4,199.75,59.6,59.64,59.6,59.6,59.59,83.69,1.06
0.42,199.75,59.6,59.64,59.61,59.6,59.6,83.63,1.06
0.44,199.75,59.6,59.63,59.6,59.59,59.6,83.63,1.06
0.46,199.76,59.6,59.63,59.6,59.6,59.6,83.52,1.05
0.48,199.76,59.6,59.64,59.59,59.6,59.59,83.52,1.05
0.5,199.76,59.59,59.63,59.59,59.61,59.59,83.47,1.05
0.52,199.76,59.6,59.63,59.59,59.61,59.59,83.41,1.05
0.54,199.76,59.6,59.63,59.59,59.61,59.59,83.47,1.05
0.56,199.76,59.6,59.62,59.59,59.61,59.59,83.47,1.05
0.58,199.76,59.6,59.62,59.59,59.6,59.59,83.47,1.05
0.6,199.76,59.6,59.61,59.59,59.6,59.58,83.47,1.05
0.62,199.76,59.6,59.62,59.59,59.61,59.58,83.47,1.05
0.64,199.76,59.58,59.62,59.59,59.61,59.57,83.52,1.05
0.66,199.76,59.59,59.61,59.59,59.6,59.58,83.52,1.05
0.68,199.76,59.6,59.62,59.59,59.6,59.59,83.58,1.05
0.7,199.76,59.6,59.62,59.59,59.61,59.6,83.58,1.05
0.72,199.76,59.61,59.62,59.59,59.61,59.6,83.63,1.05
0.74,199.77,59.6,59.62,59.59,59.61,59.6,83.75,1.03
0.76,199.76,59.6,59.62,59.59,59.61,59.59,83.75,1.05
0.78,199.76,59.61,59.62,59.6,59.61,59.6,83.8,1.05
0.8,199.76,59.61,59.62,59.59,59.61,59.6,83.8,1.05
0.82,199.76,59.6,59.62,59.59,59.61,59.6,83.86,1.05
0.84,199.76,59.6,59.62,59.59,59.61,59.6,83.91,1.05
0.86,199.76,59.6,59.63,59.59,59.61,59.59,83.91,1.05
0.88,199.76,59.6,59.63,59.59,59.61,59.59,83.97,1.05
0.9,199.76,59.61,59.63,59.59,59.61,59.59,84.02,1.05
0.92,199.75,59.61,59.62,59.59,59.6,59.59,84.02,1.06
0.94,199.75,59.6,59.61,59.59,59.6,59.6,84.08,1.06
0.96,199.75,59.6,59.62,59.59,59.6,59.6,84.02,1.07
0.98,199.75,59.6,59.62,59.59,59.6,59.6,83.97,1.07
1,199.75,59.6,59.63,59.59,59.61,59.59,83.97,1.07
1.02,199.75,59.6,59.64,59.59,59.61,59.6,83.91,1.07
1.04,199.75,59.61,59.64,59.59,59.6,59.6,83.97,1.07
1.06,199.75,59.6,59.64,59.6,59.6,59.6,83.91,1.07
1.08,199.75,59.6,59.63,59.6,59.61,59.6,83.86,1.07
1.1,199.74,59.59,59.63,59.6,59.6,59.6,83.8,1.08
1.12,199.74,59.6,59.63,59.6,59.59,59.6,83.8,1.08
1.14,199.74,59.6,59.63,59.6,59.59,59.59,83.75,1.08
1.16,199.74,59.6,59.64,59.59,59.59,59.6,83.69,1.08
1.18,199.74,59.6,59.63,59.6,59.59,59.6,83.69,1.08
1.2,199.74,59.6,59.62,59.6,59.59,59.59,83.58,1.08
1.22,199.74,59.6,59.62,59.6,59.6,59.6,83.58,1.08
1.24,199.74,59.59,59.62,59.6,59.6,59.6,83.58,1.08
1.26,199.74,59.6,59.63,59.61,59.6,59.59,83.58,1.08
1.28,199.75,59.6,59.62,59.61,59.6,59.6,83.52,1.07
1.3,199.75,59.6,59.63,59.61,59.61,59.59,83.47,1.07
1.32,199.75,59.6,59.63,59.6,59.61,59.59,83.47,1.07
1.34,199.75,59.6,59.63,59.6,59.61,59.6,83.47,1.07
1.36,199.75,59.6,59.62,59.59,59.61,59.6,83.47,1.07
1.38,199.75,59.59,59.63,59.6,59.61,59.59,83.47,1.07
1.4,199.75,59.59,59.63,59.6,59.61,59.59,83.47,1.07
1.42,199.75,59.59,59.62,59.59,59.6,59.59,83.47,1.07
1.44,199.75,59.6,59.62,59.59,59.6,59.58,83.52,1.07
1.46,199.75,59.6,59.62,59.59,59.61,59.59,83.52,1.07
1.48,199.75,59.6,59.62,59.59,59.6,59.6,83.52,1.07
1.5,199.75,59.6,59.62,59.59,59.61,59.6,83.58,1.07
1.52,199.75,59.61,59.62,59.59,59.61,59.61,83.58,1.07
1.54,199.75,59.6,59.62,59.59,59.61,59.6,83.63,1.07
1.56,199.75,59.61,59.63,59.6,59.6,59.61,83.63,1.07
1.58,199.75,59.62,59.63,59.6,59.6,59.6,83.63,1.07
1.6,199.75,59.61,59.63,59.59,59.6,59.6,83.63,1.07
1.62,199.75,59.61,59.62,59.59,59.6,59.6,83.69,1.07
1.64,199.75,59.61,59.63,59.59,59.6,59.6,83.63,1.07
1.66,199.75,59.61,59.63,59.59,59.6,59.6,83.69,1.07
1.68,199.75,59.62,59.64,59.6,59.59,59.6,83.63,1.07
1.7,199.75,59.61,59.63,59.61,59.6,59.61,83.63,1.07
1.72,199.75,59.61,59.62,59.6,59.61,59.61,83.63,1.07
1.74,199.75,59.6,59.62,59.6,59.61,59.62,83.63,1.07
1.76,199.75,59.6,59.62,59.6,59.62,59.62,83.63,1.07
1.78,199.75,59.6,59.62,59.59,59.62,59.61,83.63,1.07
1.8,199.75,59.61,59.62,59.6,59.61,59.61,83.58,1.07
1.82,199.75,59.61,59.63,59.6,59.61,59.6,83.52,1.07
1.84,199.75,59.62,59.64,59.59,59.61,59.61,83.52,1.07
1.86,199.76,59.61,59.63,59.59,59.61,59.6,83.58,1.06
1.88,199.76,59.61,59.63,59.59,59.61,59.6,83.52,1.06
1.9,199.76,59.6,59.62,59.6,59.62,59.59,83.52,1.06
1.92,199.76,59.59,59.63,59.6,59.62,59.59,83.52,1.06
1.94,199.76,59.59,59.63,59.6,59.61,59.58,83.52,1.06
1.96,199.76,59.59,59.63,59.59,59.61,59.59,83.52,1.06
1.98,199.76,59.6,59.64,59.59,59.61,59.6,83.52,1.06
2,199.76,59.6,59.64,59.59,59.61,59.6,83.52,1.06
2.02,199.76,59.6,59.64,59.6,59.61,59.6,83.52,1.06
2.04,199.76,59.6,59.63,59.6,59.61,59.6,83.52,1.06
2.06,199.76,59.61,59.63,59.6,59.6,59.59,83.58,1.06
2.08,199.76,59.61,59.63,59.61,59.6,59.59,83.58,1.06
2.1,199.76,59.61,59.63,59.6,59.6,59.6,83.63,1.06
2.12,199.76,59.61,59.62,59.6,59.6,59.6,83.63,1.06
2.14,199.76,59.61,59.63,59.6,59.61,59.6,83.63,1.06
2.16,199.76,59.61,59.62,59.6,59.61,59.6,83.69,1.06
2.18,199.76,59.61,59.62,59.6,59.61,59.59,83.75,1.06
2.2,199.76,59.61,59.62,59.6,59.61,59.6,83.75,1.06
2.22,199.76,59.61,59.62,59.59,59.61,59.6,83.75,1.06
2.24,199.76,59.61,59.62,59.59,59.61,59.61,83.75,1.06
2.26,199.76,59.62,59.63,59.59,59.61,59.61,83.75,1.06
2.28,199.76,59.62,59.63,59.59,59.61,59.6,83.75,1.06
2.3,199.76,59.62,59.63,59.6,59.61,59.6,83.8,1.06
2.32,199.76,59.61,59.62,59.6,59.61,59.6,83.75,1.06
2.34,199.75,59.61,59.62,59.59,59.61,59.61,83.75,1.07
2.36,199.75,59.6,59.62,59.59,59.61,59.61,83.75,1.07
2.38,199.75,59.6,59.63,59.59,59.6,59.61,83.69,1.07
2.4,199.76,59.6,59.63,59.6,59.61,59.6,83.63,1.06
2.42,199.75,59.6,59.63,59.61,59.6,59.6,83.63,1.07
2.44,199.76,59.6,59.63,59.61,59.6,59.6,83.63,1.07
2.46,199.76,59.6,59.62,59.61,59.6,59.61,83.58,1.07
2.48,199.76,59.61,59.63,59.6,59.6,59.6,83.58,1.07
2.5,199.76,59.61,59.64,59.6,59.61,59.6,83.47,1.07
2.52,199.76,59.62,59.63,59.61,59.6,59.61,83.52,1.07
2.54,199.76,59.61,59.64,59.61,59.61,59.6,83.47,1.07
2.56,199.76,59.61,59.63,59.61,59.61,59.6,83.47,1.07
2.58,199.76,59.61,59.63,59.6,59.61,59.6,83.41,1.07
2.6,199.76,59.6,59.64,59.6,59.61,59.6,83.41,1.07
2.62,199.76,59.6,59.64,59.59,59.61,59.6,83.41,1.07
2.64,199.76,59.6,59.64,59.59,59.61,59.6,83.41,1.07
2.66,199.76,59.6,59.63,59.6,59.61,59.6,83.47,1.07
2.68,199.77,59.59,59.63,59.59,59.61,59.6,83.41,1.05
2.7,199.77,59.59,59.63,59.59,59.61,59.61,83.47,1.05
2.72,199.77,59.6,59.63,59.59,59.61,59.61,83.52,1.05
2.74,199.77,59.6,59.63,59.59,59.61,59.6,83.52,1.05
2.76,199.77,59.61,59.63,59.6,59.61,59.61,83.58,1.05
2.78,199.77,59.6,59.62,59.6,59.61,59.6,83.63,1.05
2.8,199.77,59.61,59.63,59.61,59.61,59.6,83.63,1.05
2.82,199.77,59.61,59.63,59.61,59.61,59.6,83.63,1.05
2.84,199.77,59.61,59.64,59.61,59.61,59.6,83.69,1.05
2.86,199.77,59.61,59.63,59.59,59.61,59.61,83.69,1.05
2.88,199.77,59.62,59.63,59.6,59.61,59.61,83.8,1.05
2.9,199.77,59.62,59.64,59.6,59.6,59.61,83.8,1.05
2.92,199.76,59.62,59.64,59.61,59.6,59.61,83.86,1.07
2.94,199.76,59.62,59.63,59.6,59.61,59.61,83.8,1.07
2.96,199.76,59.61,59.63,59.6,59.61,59.61,83.8,1.07
2.98,199.76,59.61,59.64,59.6,59.61,59.61,83.86,1.07
3,199.76,59.61,59.63,59.6,59.61,59.61,83.86,1.07
3.02,199.76,59.61,59.63,59.6,59.61,59.6,83.8,1.07
3.04,199.76,59.61,59.63,59.59,59.61,59.61,83.86,1.07
3.06,199.76,59.61,59.62,59.59,59.61,59.61,83.86,1.07
3.08,199.76,59.61,59.63,59.6,59.61,59.61,83.8,1.07
3.1,199.76,59.6,59.64,59.6,59.61,59.6,83.8,1.07
3.12,199.76,59.61,59.64,59.6,59.61,59.61,83.75,1.07
3.14,199.76,59.61,59.64,59.6,59.61,59.61,83.75,1.07
3.16,199.76,59.61,59.64,59.59,59.61,59.61,83.69,1.07
3.18,199.76,59.6,59.63,59.59,59.61,59.6,83.63,1.07
3.2,199.76,59.61,59.64,59.6,59.61,59.6,83.63,1.07
3.22,199.76,59.6,59.64,59.6,59.6,59.6,83.63,1.07
3.24,199.75,59.6,59.63,59.6,59.6,59.6,83.58,1.08
3.26,199.76,59.6,59.63,59.59,59.61,59.6,83.58,1.07
3.28,199.76,59.59,59.62,59.59,59.6,59.6,83.52,1.07
3.3,199.76,59.59,59.63,59.6,59.6,59.6,83.58,1.07
3.32,199.76,59.6,59.63,59.59,59.61,59.59,83.58,1.07
3.34,199.76,59.6,59.63,59.59,59.61,59.6,83.52,1.07
3.36,199.76,59.6,59.63,59.59,59.61,59.6,83.52,1.07
3.38,199.76,59.6,59.63,59.59,59.61,59.6,83.52,1.07
3.4,199.76,59.6,59.62,59.6,59.6,59.61,83.58,1.07
3.42,199.76,59.6,59.63,59.6,59.6,59.61,83.58,1.07
3.44,199.76,59.6,59.64,59.59,59.61,59.61,83.63,1.07
3.46,199.76,59.6,59.63,59.6,59.61,59.61,83.63,1.07
3.48,199.76,59.6,59.62,59.6,59.61,59.61,83.75,1.07
3.5,199.76,59.61,59.62,59.61,59.61,59.6,83.69,1.07
3.52,199.76,59.62,59.62,59.62,59.61,59.61,83.75,1.07
3.54,199.76,59.61,59.62,59.61,59.6,59.6,83.8,1.07
3.56,199.76,59.6,59.62,59.62,59.6,59.6,83.8,1.07
3.58,199.75,59.6,59.62,59.61,59.61,59.6,83.8,1.08
3.6,199.75,59.6,59.62,59.6,59.6,59.6,83.86,1.08
3.62,199.75,59.6,59.62,59.6,59.6,59.6,83.86,1.08
3.64,199.75,59.6,59.61,59.6,59.61,59.6,83.86,1.08
3.66,199.75,59.6,59.62,59.6,59.61,59.6,83.86,1.08
3.68,199.75,59.61,59.62,59.6,59.6,59.59,83.86,1.08
3.7,199.75,59.62,59.63,59.6,59.6,59.6,83.8,1.08
3.72,199.75,59.61,59.62,59.61,59.6,59.59,83.8,1.08
3.74,199.75,59.61,59.61,59.6,59.6,59.6,83.75,1.08
3.76,199.75,59.61,59.62,59.6,59.59,59.59,83.75,1.08
3.78,199.75,59.61,59.62,59.59,59.6,59.59,83.69,1.08
3.8,199.75,59.6,59.62,59.59,59.6,59.6,83.75,1.08
3.82,199.75,59.6,59.63,59.59,59.61,59.6,83.69,1.08
3.84,199.75,59.6,59.62,59.59,59.61,59.61,83.63,1.08
3.86,199.75,59.6,59.62,59.6,59.61,59.61,83.63,1.08
3.88,199.74,59.6,59.62,59.6,59.61,59.61,83.58,1.09
3.9,199.74,59.6,59.62,59.6,59.61,59.61,83.58,1.09
3.92,199.75,59.6,59.62,59.61,59.61,59.61,83.52,1.08
3.94,199.75,59.6,59.62,59.6,59.62,59.61,83.47,1.08
3.96,199.75,59.6,59.62,59.6,59.62,59.61,83.47,1.08
3.98,199.75,59.6,59.62,59.6,59.62,59.6,83.52,1.08
4,199.75,59.61,59.62,59.6,59.62,59.6,83.47,1.08
4.02,199.75,59.61,59.63,59.59,59.62,59.6,83.47,1.08
4.04,199.75,59.6,59.62,59.6,59.62,59.61,83.41,1.08
4.06,199.75,59.61,59.62,59.61,59.61,59.61,83.41,1.08
4.08,199.75,59.61,59.63,59.61,59.61,59.61,83.47,1.08
4.1,199.75,59.61,59.63,59.61,59.61,59.61,83.47,1.08
