Time [s],Frequency [Hz*4],servo_1 [%],servo_2 [%],servo_3 [%],servo_4 [%],servo_5 [%],power [%],governor_output [%]
0,199.96,59.72,59.71,59.7,59.7,59.72,83.63,1.16
0.02,199.96,59.72,59.71,59.7,59.7,59.72,83.63,1.16
0.04,199.96,59.72,59.71,59.71,59.69,59.72,83.69,1.16
0.06,199.96,59.71,59.71,59.71,59.69,59.71,83.69,1.16
0.08,199.96,59.71,59.71,59.72,59.7,59.71,83.69,1.16
0.1,199.96,59.72,59.71,59.72,59.7,59.72,83.69,1.16
0.12,199.96,59.72,59.72,59.71,59.71,59.72,83.69,1.16
0.14,199.96,59.72,59.72,59.71,59.71,59.72,83.75,1.16
0.16,199.95,59.72,59.71,59.71,59.7,59.73,83.75,1.18
0.18,199.95,59.72,59.71,59.71,59.7,59.72,83.75,1.18
0.2,199.95,59.71,59.71,59.71,59.71,59.71,83.8,1.18
0.22,199.95,59.71,59.71,59.71,59.72,59.72,83.75,1.18
0.24,199.95,59.72,59.71,59.71,59.72,59.72,83.8,1.18
0.26,199.95,59.72,59.71,59.72,59.71,59.71,83.8,1.18
0.28,199.95,59.72,59.71,59.72,59.71,59.71,83.75,1.18
0.3,199.95,59.72,59.71,59.71,59.71,59.72,83.75,1.18
0.32,199.95,59.72,59.71,59.71,59.7,59.71,83.75,1.18
0.34,199.95,59.71,59.71,59.71,59.7,59.71,83.8,1.18
0.36,199.95,59.71,59.71,59.71,59.69,59.71,83.75,1.18
0.38,199.94,59.71,59.71,59.71,59.7,59.71,83.75,1.21
0.4,199.94,59.71,59.71,59.72,59.71,59.71,83.75,1.21
0.42,199.94,59.71,59.71,59.72,59.7,59.72,83.75,1.21
0.44,199.94,59.71,59.71,59.71,59.7,59.72,83.69,1.21
0.46,199.94,59.72,59.71,59.71,59.69,59.72,83.69,1.21
0.48,199.94,59.71,59.71,59.71,59.69,59.71,83.63,1.21
0.5,199.94,59.71,59.71,59.72,59.7,59.72,83.63,1.21
0.52,199.94,59.71,59.71,59.72,59.7,59.72,83.63,1.21
0.54,199.94,59.71,59.71,59.71,59.7,59.72,83.63,1.21
0.56,199.94,59.71,59.72,59.71,59.71,59.72,83.63,1.21
0.58,199.94,59.72,59.72,59.71,59.72,59.72,83.58,1.21
0.6,199.94,59.71,59.72,59.71,59.72,59.72,83.58,1.21
0.62,199.94,59.71,59.71,59.71,59.71,59.71,83.58,1.21
0.64,199.95,59.71,59.71,59.71,59.71,59.71,83.58,1.18
0.66,199.95,59.7,59.71,59.71,59.71,59.72,83.58,1.18
0.68,199.95,59.7,59.71,59.71,59.72,59.71,83.52,1.18
0.7,199.95,59.71,59.72,59.71,59.72,59.71,83.58,1.18
0.72,199.95,59.72,59.71,59.71,59.71,59.71,83.58,1.18
0.74,199.95,59.72,59.71,59.71,59.71,59.71,83.58,1.18
0.76,199.95,59.72,59.71,59.71,59.7,59.71,83.58,1.18
0.78,199.95,59.72,59.71,59.71,59.7,59.71,83.58,1.18
0.8,199.95,59.72,59.71,59.71,59.71,59.72,83.58,1.18
0.82,199.95,59.72,59.71,59.7,59.71,59.72,83.58,1.18
